Tournament,Seed,TeamID,Name
M,W01,1163,Uconn
M,W02,1235,Iowa St.
M,W03,1228,Illinois
M,W04,1120,Auburn
M,W05,1361,SDSU
M,W06,1140,BYU
M,W07,1450,Washu
M,W08,1194,FAU
M,W09,1321,Northwestern
M,W10,1179,Drake
M,W11,1182,Duquesne
M,W12,1412,UAB
M,W13,1463,Yale
M,W14,1287,Morehead St.
M,W15,1355,South Dakota St.
M,W16,1391,Stetson
M,X01,1314,UNC
M,X02,1112,Arizona
M,X03,1124,Baylor
M,X04,1104,Alabama
M,X05,1388,St. Mary's
M,X06,1155,Clemson
M,X07,1173,Dayton
M,X08,1280,Mississippi St.
M,X09,1277,MSU
M,X10,1305,Nevada
M,X11,1307,New Mexico
M,X12,1213,Grand Canyon
M,X13,1158,Charleston
M,X14,1159,Colgate
M,X15,1253,LBSU
M,X16,1224,Howard
M,Y01,1345,Purdue
M,Y02,1397,Tennessee
M,Y03,1166,Creighton
M,Y04,1242,Kansas
M,Y05,1211,Gonzaga
M,Y06,1376,South Carolina
M,Y07,1400,Texas
M,Y08,1429,Utah St.
M,Y09,1395,TCU
M,Y10,1161,Colorado St.
M,Y11,1332,Oregon
M,Y12,1270,McNeese
M,Y13,1359,Samford
M,Y14,1103,Akron
M,Y15,1389,St. Peter's
M,Y16,1212,Grambling
M,Z01,1222,Houston
M,Z02,1266,Marquette
M,Z03,1246,Kentucky
M,Z04,1181,Duke
M,Z05,1458,Wisconsin
M,Z06,1403,Texas Tech
M,Z07,1196,Florida
M,Z08,1304,Nebraska
M,Z09,1401,Texas A&M
M,Z10,1129,Boise St.
M,Z11,1301,NC State
M,Z12,1241,James Madison
M,Z13,1436,Vermont
M,Z14,1324,Oakland
M,Z15,1443,W. Kentucky
M,Z16,1255,Longwood
M,Y10,1438,UVA
M,Y16,1286,Montanta St.
M,Z10,1447,Wagner
M,X16,1160,Colorado
